service_request_number;reported_date;service_request_summary;category;definition;follow_up_date;service_request_type;neighborhood
5311260;2021-06-18;occupied property - hgih grass and weeds;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-07;CE-Weeds Occupied Property;Parkway Village
5324072;2021-06-28;junky front and back;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-20;CE-Junky Yard;Parkway Village
5322916;2021-06-28;occupied property - high grass and weeds / back yard;Weeds;Closed Void;2021-07-14;CE-Weeds Occupied Property;Parkway Village
5327694;2021-06-30;trash and debris on property front and back;Inspection-Junky Yard;Justified, Active already file;2021-07-22;CE-Junky Yard;Parkway Village
5328798;2021-07-01;tree limbs are pushing onto the neighbor 3345 shuster;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-21;CE-Weeds Occupied Property;Parkway Village
5345276;2021-07-14;residents won't cut grass and have overgrown bushes obstructing drivers;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-02-13;CE-Junky Yard;Parkway Village
5350932;2021-07-19;JUNKY YARD and PARKING ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-17;CE-Junky Yard;Parkway Village
5350886;2021-07-19;APPLIANCES UNDER CARPORT;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-17;CE-Junky Yard;Parkway Village
5353874;2021-07-20;Junkyard cars on the lawn;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-23;CE-Junky Yard;Parkway Village
5355876;2021-07-21;Court date 11/4/2022 @ 9:00am. occup property high grass and weeds/ front and back yard;Weeds;Case dismissed         Need further discussion;2022-09-30;CE-Weeds Occupied Property;Parkway Village
5355386;2021-07-21;COURT DATE 10/13/2022 @9:00am . OVER GROWN GRASS .;Weeds;Case dismissed         Need further discussion;2022-08-11;CE-Weeds Occupied Property;Parkway Village
5383514;2021-08-09;COURT DATE 12-10-2021 @ 9:00AM. Weeds Occupied House;Weeds;Case dismissed         Need further discussion;2021-11-01;CE-Weeds Occupied Property;Parkway Village
5394380;2021-08-17;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-19;CE-Junky Yard;Parkway Village
