Offense Date,UCR Description,UCR Category,Zip Code
2021-01-14 20:07:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-14 20:30:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-15 00:30:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-15 00:30:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-15 05:42:00+00:00,CREDIT CARD/ATM FRAUD,FRAUD,38128
2021-01-15 05:42:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-15 09:45:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-15 10:15:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-15 10:50:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38128
2021-01-15 12:00:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-15 12:00:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-15 14:11:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-15 14:30:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-15 14:30:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-15 15:00:00+00:00,KIDNAPPING/ABDUCTION,KIDNAPPING/ABDUCTION,38128
2021-01-15 16:05:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-15 16:30:00+00:00,THEFT FROM A BUILDING,LARCENY/THEFT,38128
2021-01-15 16:35:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-15 17:00:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-15 17:07:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-15 18:25:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-15 19:00:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-15 20:05:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-15 20:53:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-15 22:00:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-16 00:05:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-16 04:55:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-16 10:15:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-16 11:20:00+00:00,DRIVING UNDER THE INFLUENCE,DRIVING UNDER THE INFLUENCE,38128
2021-01-16 13:00:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-16 14:14:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-16 16:30:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-16 16:30:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-16 17:25:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-16 18:15:00+00:00,DRUG/NARCOTIC EQUIQ VIOL,DRUG/NARCOTIC,38128
2021-01-16 19:02:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-16 20:50:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-16 21:30:00+00:00,TRESPASS OF REAL PROPERTY,TRESPASS OF REAL PROPERTY,38128
2021-01-17 00:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-17 00:20:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-17 01:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-17 03:15:00+00:00,ROBBERY,ROBBERY,38128
2021-01-17 07:20:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-17 08:10:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-17 12:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-17 12:40:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-17 13:46:00+00:00,CREDIT CARD/ATM FRAUD,FRAUD,38128
2021-01-17 15:00:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-17 15:30:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-17 16:15:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-17 16:15:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
