Offense Date,UCR Description,UCR Category,Zip Code
2021-01-18 10:45:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38114
2021-01-18 11:53:00+00:00,ROBBERY,ROBBERY,38114
2021-01-18 12:45:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-18 12:54:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-18 13:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-18 13:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-18 17:30:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38114
2021-01-18 19:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-18 20:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38114
2021-01-18 22:30:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38114
2021-01-18 23:30:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-19 03:00:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38114
2021-01-19 06:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-19 08:42:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38114
2021-01-19 11:30:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-19 12:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38114
2021-01-19 12:00:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-19 18:00:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38114
2021-01-19 18:09:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38114
2021-01-19 18:10:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38114
2021-01-19 18:39:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
